10,16
14,5
10,42
14,16
8,28
12,42
11,30
0,17
14,43
10,34
17,37
0,0
10,19
2,41
5,20
10,26
17,42
40,39
3,31
7,35
10,25
16,22
12,19
0,30
0,8
10,23
14,39
23,43
3,41
29,47
3,3
3,9
11,41
12,41
3,15
12,42
4,38
7,33
17,40
10,14
8,7
8,26
25,26
3,45
15,29
18,36
10,29
23,41
12,27
0,12
5,35
1,22
8,34
24,41
6,12
13,46
14,43
8,17
8,29
7,19
4,30
12,35
12,8
8,38
7,17
2,28
2,34
18,30
16,22
7,12
18,34
15,33
13,32
16,23
7,34
16,23
12,41
11,26
15,31
10,31
5,30
10,39
8,43
5,18
15,40
0,3
15,36
15,42
15,43
21,20
5,1
12,37
2,40
27,41
17,40
17,39
16,34
32,42
2,19
10,42
